"","bee","V2","cp","bee1"
"1","greenweez.com","Alimentation",0,"Courses"
"2","monoprix.fr","Alimentation",0,"Courses"
"3","nosmeilleurescourses.com","Alimentation",1,"Courses"
"4","naturalia.fr","Alimentation",0,"Courses"
"5","fleursdedragees.com","Alimentation",0,"Biscuits, confiserie et chocolats"
"6","votregateau.fr","Alimentation",1,"Biscuits, confiserie et chocolats"
"7","chocolat-deneuville.com","Alimentation",1,"Biscuits, confiserie et chocolats"
"8","lamaisonduchocolat.fr","Alimentation",1,"Biscuits, confiserie et chocolats"
"9","confiserie-foraine.com","Alimentation",0,"Biscuits, confiserie et chocolats"
"10","maxicoffee.com","Alimentation",0,"Thés et cafés"
"11","nespresso.com","Alimentation",1,"Thés et cafés"
"12","cafe-privilege.com","Alimentation",0,"Thés et cafés"
"13","palaisdesthes.com","Alimentation",0,"Thés et cafés"
"14","tassimo.fr","Alimentation",0,"Thés et cafés"
"15","boucherie-dynamique.com","Alimentation",0,"Epicerie fine et traiteur"
"16","comptoir-irlandais.com","Alimentation",0,"Epicerie fine et traiteur"
"17","comtessedubarry.com","Alimentation",0,"Epicerie fine et traiteur"
"18","oliviers-co.com","Alimentation",1,"Epicerie fine et traiteur"
"19","gustoditalia.com","Alimentation",1,"Epicerie fine et traiteur"
"20","vinatis.com","Alimentation",0,"Vins, bières et spiritueux"
"21","lavinia.fr","Alimentation",1,"Vins, bières et spiritueux"
"22","comptoirdesmillesimes.com","Alimentation",0,"Vins, bières et spiritueux"
"23","vinsetchampagnes.fr","Alimentation",0,"Vins, bières et spiritueux"
"24","saveur-biere.com","Alimentation",0,"Vins, bières et spiritueux"
"25","happyview.fr","Bien-être et beauté",0,"Optique"
"26","clarins.fr","Bien-être et beauté",1,"Fabricants de produits de beauté"
"27","thebodyshop.com","Bien-être et beauté",1,"Fabricants de produits de beauté"
"28","fr.loccitane.com","Bien-être et beauté",0,"Fabricants de produits de beauté"
"29","fr.nuxe.com","Bien-être et beauté",0,"Fabricants de produits de beauté"
"30","mugler.fr","Bien-être et beauté",1,"Fabricants de produits de beauté"
"31","corinedefarme.fr","Bien-être et beauté",0,"Fabricants de produits de beauté"
"32","ricaud.com","Bien-être et beauté",0,"Fabricants de produits de beauté"
"33","yslbeauty.fr","Bien-être et beauté",1,"Fabricants de produits de beauté"
"34","kikocosmetics.com","Bien-être et beauté",1,"Fabricants de produits de beauté"
"35","fr.lush.com","Bien-être et beauté",1,"Fabricants de produits de beauté"
"36","nyxcosmetics.fr","Bien-être et beauté",1,"Fabricants de produits de beauté"
"37","yves-rocher.fr","Bien-être et beauté",0,"Fabricants de produits de beauté"
"38","biotherm.fr","Bien-être et beauté",1,"Fabricants de produits de beauté"
"39","loreal-paris.fr","Bien-être et beauté",1,"Fabricants de produits de beauté"
"40","avril-beaute.fr","Bien-être et beauté",0,"Fabricants de produits de beauté"
"41","weightworld.fr","Bien-être et beauté",1,"Diétitique"
"42","laboratoire-lescuyer.com","Bien-être et beauté",1,"Diétitique"
"43","dieti-natura.com","Bien-être et beauté",0,"Diétitique"
"44","forceultranature.com","Bien-être et beauté",0,"Diétitique"
"45","jolivia.fr","Bien-être et beauté",1,"Diétitique"
"46","gouiran-beaute.com","Bien-être et beauté",0,"Généralistes produits de beauté"
"47","beautycoiffure.com","Bien-être et beauté",0,"Généralistes produits de beauté"
"48","mencorner.com","Bien-être et beauté",0,"Généralistes produits de beauté"
"49","fr.feelunique.com","Bien-être et beauté",0,"Généralistes produits de beauté"
"50","diouda.fr","Bien-être et beauté",1,"Généralistes produits de beauté"
"51","sephora.fr","Bien-être et beauté",0,"Généralistes produits de beauté"
"52","rasoir-service.fr","Bien-être et beauté",0,"Généralistes produits de beauté"
"53","comptoirdelhomme.com","Bien-être et beauté",0,"Généralistes produits de beauté"
"54","bleulibellule.com","Bien-être et beauté",0,"Généralistes produits de beauté"
"55","incenza.com","Bien-être et beauté",1,"Généralistes produits de beauté"
"56","kalista-parfums.com","Bien-être et beauté",1,"Généralistes produits de beauté"
"57","news-parfums.com","Bien-être et beauté",0,"Généralistes produits de beauté"
"58","foliecosmetic.com","Bien-être et beauté",0,"Généralistes produits de beauté"
"59","ohmycream.com","Bien-être et beauté",0,"Généralistes produits de beauté"
"60","nocibe.fr","Bien-être et beauté",0,"Généralistes produits de beauté"
"61","lentillesmoinscheres.com","Bien-être et beauté",0,"Optique"
"62","edel-optics.fr","Bien-être et beauté",0,"Optique"
"63","visio-net.fr","Bien-être et beauté",1,"Optique"
"64","misterspex.fr","Bien-être et beauté",1,"Optique"
"65","sofamed.com","Bien-être et beauté",0,"Paramédical"
"66","bastideleconfortmedical.com","Bien-être et beauté",0,"Paramédical"
"67","audilo.com","Bien-être et beauté",0,"Paramédical"
"68","pasolo.com","Bien-être et beauté",1,"Paramédical"
"69","laboutiquedudos.com","Bien-être et beauté",0,"Paramédical"
"70","shop-pharmacie.fr","Bien-être et beauté",0,"Parapharmacie et pharmacie"
"71","jevaismieuxmerci.com","Bien-être et beauté",0,"Parapharmacie et pharmacie"
"72","pharma-gdd.com","Bien-être et beauté",0,"Parapharmacie et pharmacie"
"73","easyparapharmacie.com","Bien-être et beauté",0,"Parapharmacie et pharmacie"
"74","paraselection.com","Bien-être et beauté",0,"Parapharmacie et pharmacie"
"75","newpharma.fr","Bien-être et beauté",0,"Parapharmacie et pharmacie"
"76","viata.fr","Bien-être et beauté",1,"Parapharmacie et pharmacie"
"77","santediscount.com","Bien-être et beauté",0,"Parapharmacie et pharmacie"
"78","cocooncenter.com","Bien-être et beauté",0,"Parapharmacie et pharmacie"
"79","lasante.net","Bien-être et beauté",0,"Parapharmacie et pharmacie"
"80","onatera.com","Bien-être et beauté",0,"Produits naturels et bien-être"
"81","fleurancenature.fr","Bien-être et beauté",0,"Produits naturels et bien-être"
"82","naturalforme.fr","Bien-être et beauté",0,"Produits naturels et bien-être"
"83","ecco-verde.fr","Bien-être et beauté",1,"Produits naturels et bien-être"
"84","louis-herboristerie.com","Bien-être et beauté",0,"Produits naturels et bien-être"
"85","conrad.fr","Electroménager et multimédia",1,"Accessoires et pièces détachées"
"86","gotronic.fr","Electroménager et multimédia",0,"Accessoires et pièces détachées"
"87","cartouchemania.com","Electroménager et multimédia",0,"Accessoires et pièces détachées"
"88","aboutbatteries.com","Electroménager et multimédia",0,"Accessoires et pièces détachées"
"89","gsm55.com","Electroménager et multimédia",1,"Accessoires et pièces détachées"
"90","darty.com","Electroménager et multimédia",0,"Généralistes et multimédia électroménager"
"91","boulanger.com","Electroménager et multimédia",0,"Généralistes et multimédia électroménager"
"92","electronic-star.fr","Electroménager et multimédia",0,"Généralistes et multimédia électroménager"
"93","electrodepot.fr","Electroménager et multimédia",0,"Généralistes et multimédia électroménager"
"94","ubaldi.com","Electroménager et multimédia",0,"Généralistes et multimédia électroménager"
"95","homecinesolutions.fr","Electroménager et multimédia",1,"Spécialistes images et son"
"96","iacono.fr","Electroménager et multimédia",0,"Spécialistes images et son"
"97","visunext.fr","Electroménager et multimédia",1,"Spécialistes images et son"
"98","futureland.fr","Electroménager et multimédia",0,"Spécialistes images et son"
"99","son-video.com","Electroménager et multimédia",0,"Spécialistes images et son"
"100","crucial.fr","Electroménager et multimédia",1,"Spécialistes informatique"
"101","monpcsurmesure.fr","Electroménager et multimédia",0,"Spécialistes informatique"
"102","cybertek.fr","Electroménager et multimédia",0,"Spécialistes informatique"
"103","smidistri.com","Electroménager et multimédia",0,"Spécialistes informatique"
"104","store.hp.com","Electroménager et multimédia",1,"Spécialistes informatique"
"105","ldlc.com","Electroménager et multimédia",0,"Spécialistes multimédias"
"106","pearl.fr","Electroménager et multimédia",1,"Spécialistes multimédias"
"107","materiel.net","Electroménager et multimédia",0,"Spécialistes multimédias"
"108","rebuy.fr","Electroménager et multimédia",0,"Spécialistes multimédias"
"109","macway.com","Electroménager et multimédia",0,"Spécialistes multimédias"
"110","missnumérique.com","Electroménager et multimédia",0,"Téléphonie, photo, vidéo"
"111","phonedroid.fr","Electroménager et multimédia",1,"Téléphonie, photo, vidéo"
"112","shop.samsung.com","Electroménager et multimédia",1,"Téléphonie, photo, vidéo"
"113","digixo.com","Electroménager et multimédia",0,"Téléphonie, photo, vidéo"
"114","digit-photo.com","Electroménager et multimédia",0,"Téléphonie, photo, vidéo"
"115","digit-photo.com","Electroménager et multimédia",0,"Téléphonie, photo, vidéo"
"116","digit-photo.com","Electroménager et multimédia",0,"Téléphonie, photo, vidéo"
"117","digit-photo.com","Electroménager et multimédia",0,"Téléphonie, photo, vidéo"
"118","deguisetoi.fr","Loisirs",0,"Articles de fête"
"119","decorationsdemariage.fr","Loisirs",0,"Articles de fête"
"120","vegaooparty.com","Loisirs",0,"Articles de fête"
"121","ledeguisement.com","Loisirs",0,"Articles de fête"
"122","mylittleday.fr","Loisirs",0,"Articles de fête"
"123","taklope.com","Loisirs",0,"Articles pour fumeurs"
"124","smoking.fr","Loisirs",0,"Articles pour fumeurs"
"125","mistersmoke.com","Loisirs",0,"Articles pour fumeurs"
"126","planete-sfactory.com","Loisirs",0,"Articles pour fumeurs"
"127","ecigplanete.com","Loisirs",0,"Articles pour fumeurs"
"128","wonderbox.fr","Loisirs",1,"Box cadeaux et abonnement"
"129","dakotabox.fr","Loisirs",0,"Box cadeaux et abonnement"
"130","smartbox.com","Loisirs",0,"Box cadeaux et abonnement"
"131","birchbox.fr","Loisirs",0,"Box cadeaux et abonnement"
"132","nuoobox.com","Loisirs",1,"Box cadeaux et abonnement"
"133","espaceplaisir.fr","Loisirs",0,"Divertissement pour adultes"
"134","espacelibido.com","Loisirs",0,"Divertissement pour adultes"
"135","avenue-privee.com","Loisirs",0,"Divertissement pour adultes"
"136","dorcelstore.com","Loisirs",0,"Divertissement pour adultes"
"137","passageudesir.fr","Loisirs",0,"Divertissement pour adultes"
"138","amikado.com","Loisirs",1,"Impression photo et papier"
"139","planet-cards.com","Loisirs",0,"Impression photo et papier"
"140","naissance.fr","Loisirs",0,"Impression photo et papier"
"141","pixum.fr","Loisirs",0,"Impression photo et papier"
"142","cewe-photo.fr","Loisirs",0,"Impression photo et papier"
"143","musicstore.de","Loisirs",0,"Instruments ert articles de musique"
"144","thomann.de","Loisirs",0,"Instruments ert articles de musique"
"145","bax-shop.fr","Loisirs",1,"Instruments ert articles de musique"
"146","woodbrass.com","Loisirs",1,"Instruments ert articles de musique"
"147","energyson.fr","Loisirs",1,"Instruments ert articles de musique"
"148","oxybul.com","Loisirs",0,"Jeux et jouets généralistes"
"149","philibertnet.com","Loisirs",0,"Jeux et jouets généralistes"
"150","jeujouet.com","Loisirs",1,"Jeux et jouets généralistes"
"151","shopdisney.fr","Loisirs",1,"Jeux et jouets généralistes"
"152","lagranderecre.fr","Loisirs",0,"Jeux et jouets généralistes"
"153","artoyz.com","Loisirs",1,"Jeux spécialisés"
"154","shop.lego.com","Loisirs",1,"Jeux spécialisés"
"155","rue-des-puzzles.com","Loisirs",0,"Jeux spécialisés"
"156","figurines-mania.com","Loisirs",0,"Jeux spécialisés"
"157","gamecash.fr","Loisirs",0,"Jeux spécialisés"
"158","fnac.com","Loisirs",0,"Livres et produits culturels"
"159","cultura.com","Loisirs",0,"Livres et produits culturels"
"160","decitre.fr","Loisirs",0,"Livres et produits culturels"
"161","anime-store.fr","Loisirs",0,"Livres et produits culturels"
"162","gibert.com","Loisirs",0,"Livres et produits culturels"
"163","lafourmicreative.fr","Loisirs",0,"Loisirs créatifs"
"164","vbs-hobby.fr","Loisirs",1,"Loisirs créatifs"
"165","perlesandco.com","Loisirs",0,"Loisirs créatifs"
"166","loisir-creatif-fr.buttinette.com","Loisirs",1,"Loisirs créatifs"
"167","canevas.com","Loisirs",1,"Loisirs créatifs"
"168","geant-beaux-arts.fr","Loisirs",0,"Loisirs créatifs"
"169","scrapmalin.com","Loisirs",1,"Loisirs créatifs"
"170","phildar.fr","Loisirs",0,"Loisirs créatifs"
"171","mapetitemercerie.com","Loisirs",0,"Loisirs créatifs"
"172","bergeredefrance.fr","Loisirs",0,"Loisirs créatifs"
"173","1001maquettes.fr","Loisirs",0,"Modélisme et maquettes"
"174","rcteam.fr","Loisirs",0,"Modélisme et maquettes"
"175","miniplanes.fr","Loisirs",0,"Modélisme et maquettes"
"176","rue-des-maquettes.com","Loisirs",0,"Modélisme et maquettes"
"177","breizh-modelisme.com","Loisirs",0,"Modélisme et maquettes"
"178","lavantgardiste.com","Loisirs",1,"Produits astucieux et cadeaux"
"179","maison-et-confort.fr","Loisirs",0,"Produits astucieux et cadeaux"
"180","proidee.fr","Loisirs",0,"Produits astucieux et cadeaux"
"181","cadeau-maestro.com","Loisirs",0,"Produits astucieux et cadeaux"
"182","meillandrichardier.com","Maison et équipement auto",0,"Luminaires"
"183","ikea.fr","Maison et équipement auto",1,"Ameublement et décoration"
"184","zooplus.fr","Maison et équipement auto",1,"Animaleries"
"185","cheval-energy.com","Maison et équipement auto",0,"Animaleries"
"186","lafermedesanimaux.com","Maison et équipement auto",0,"Animaleries"
"187","bitiba.fr","Maison et équipement auto",1,"Animaleries"
"188","croquetteland.com","Maison et équipement auto",0,"Animaleries"
"189","cuisineaddict.com","Maison et équipement auto",0,"Arts de la table"
"190","coutellerie-tourangelle.com","Maison et équipement auto",0,"Arts de la table"
"191","maspatule.com","Maison et équipement auto",0,"Arts de la table"
"192","accessoires-de-cuisines.com","Maison et équipement auto",0,"Arts de la table"
"193","mathon.fr","Maison et équipement auto",0,"Arts de la table"
"194","madeindesign.com","Maison et équipement auto",0,"Ameublement et décoration premium"
"195","ambientedirect.com","Maison et équipement auto",1,"Ameublement et décoration premium"
"196","voltex.fr","Maison et équipement auto",0,"Ameublement et décoration premium"
"197","amara.com","Maison et équipement auto",1,"Ameublement et décoration premium"
"198","interiors.fr","Maison et équipement auto",1,"Ameublement et décoration premium"
"199","wall-art.fr","Maison et équipement auto",1,"Décoration murale"
"200","etoffe.com","Maison et équipement auto",0,"Décoration murale"
"201","bimago.fr","Maison et équipement auto",1,"Décoration murale"
"202","4murs.com","Maison et équipement auto",0,"Décoration murale"
"203","artwall-and-co.com","Maison et équipement auto",1,"Décoration murale"
"204","agitateur-floral.com","Maison et équipement auto",1,"Fleuristes"
"205","bebloom.com","Maison et équipement auto",1,"Fleuristes"
"206","aquarelle.com","Maison et équipement auto",1,"Fleuristes"
"207","francefleurs.com","Maison et équipement auto",0,"Fleuristes"
"208","florajet.com","Maison et équipement auto",0,"Fleuristes"
"209","monmagasingeneral.com","Maison et équipement auto",0,"Généralistes bricolage et outillage"
"210","shopix.fr","Maison et équipement auto",1,"Généralistes bricolage et outillage"
"211","bricozor.com","Maison et équipement auto",0,"Généralistes bricolage et outillage"
"212","castorama.fr","Maison et équipement auto",1,"Généralistes bricolage et outillage"
